run_id,arch_name,dataset,noise_level,seed,model_index,epoch,gen_depth,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,0,2,8,"[32, 32, 32, 32, 32, 64, 32, 64]",2.286946758047377,0.1132782937736498,54.64,nan,nan,nan
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,0,5,8,"[32, 32, 32, 32, 32, 64, 32, 64]",2.286946758047377,0.1132782937736498,72.1,4375.551626586914,2016.7891185627839,0.7852799330466975
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,0,7,8,"[32, 32, 32, 32, 32, 64, 32, 64]",2.286946758047377,0.1132782937736498,71.89,3060.614862060547,261.9875174848898,0.7591199606643305
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,0,10,8,"[32, 32, 32, 32, 32, 64, 32, 64]",2.286946758047377,0.1132782937736498,74.56,2739.7599563598633,260.19871292701816,0.8529098115223477
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,0,2,8,"[32, 32, 32, 32, 32, 64, 32, 64]",2.5443235944542377,0.12108703130374958,2.96,nan,nan,nan
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,0,5,8,"[32, 32, 32, 32, 32, 64, 32, 64]",2.5443235944542377,0.12108703130374958,5.38,6449.692004394531,1603.9065326645186,0.7150777929668504
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,0,7,8,"[32, 32, 32, 32, 32, 64, 32, 64]",2.5443235944542377,0.12108703130374958,1.42,5237.320904541016,724.5583597372562,0.8253339052045957
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,0,10,8,"[32, 32, 32, 32, 32, 64, 32, 64]",2.5443235944542377,0.12108703130374958,1.81,3746.9890266418456,1249.885706312454,4.412923489889527
plain_cnn_bn-m1-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,1,2,8,"[64, 64, 64, 64, 32, 32, 64, 64]",2.3188850979974376,0.12109849787868364,68.9,nan,nan,nan
plain_cnn_bn-m1-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,1,5,8,"[64, 64, 64, 64, 32, 32, 64, 64]",2.3188850979974376,0.12109849787868364,73.36,917.2273216247559,489.2058933872506,0.5469138335336221
plain_cnn_bn-m1-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,1,7,8,"[64, 64, 64, 64, 32, 32, 64, 64]",2.3188850979974376,0.12109849787868364,75.96,674.5500427246094,58.75814340279877,0.45422955028014306
plain_cnn_bn-m1-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,1,10,8,"[64, 64, 64, 64, 32, 32, 64, 64]",2.3188850979974376,0.12109849787868364,75.9,724.5754501342774,89.10178665286902,0.4316045557193351
